Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
TeamOne,RED Canids,16,19,10,16,0,0,RED Canids
DETONA,Orgless,4,16,12,16,0,0,Orgless
BOOM,W7M,16,3,16,10,0,0,BOOM
paiN,Isurus,16,9,11,16,4,16,Isurus
Sharks,Imperial,7,16,16,3,9,16,Imperial
BOOM,TeamOne,16,19,14,16,0,0,TeamOne
W7M,RED Canids,14,16,5,16,0,0,RED Canids
Ground Zero,Rooster,16,10,16,14,0,0,Ground Zero
ORDER,Skyfire,16,7,14,16,25,23,ORDER
Sinisters,9z,3,16,10,16,0,0,9z
Hard Legion,HellRaisers,9,16,16,9,6,16,HellRaisers
Wings,Global,16,13,9,16,16,10,Wings
Paradox,Skyfire,1,0,16,8,0,0,Paradox
Lucid,Skyfire,13,16,14,16,0,0,Skyfire
Paradox,Lucid,9,16,16,10,16,11,Paradox
9z,Rysix,19,22,19,17,16,5,9z
Sinisters,Duck Nutz,18,22,19,17,16,12,Sinisters
Natus Vincere,Astralis,16,5,16,5,0,0,Natus Vincere
HAVU,SJ,16,19,16,4,16,11,HAVU
fnatic,G2,12,16,16,11,12,16,G2
forZe,Spirit,16,12,12,16,9,16,Spirit
hREDS,KOVA,14,16,16,12,7,16,KOVA
madlikewizards,Eimi Fukada FC,1,0,16,3,0,0,madlikewizards
Eimi Fukada FC,MC,16,5,16,10,0,0,Eimi Fukada FC
Eimi Fukada FC,madlikewizards,17,19,9,16,0,0,madlikewizards
9z,Nocturns,19,15,16,11,0,0,9z
FREEROX,Sinisters,3,16,16,19,0,0,Sinisters
Natus Vincere,Liquid,16,11,16,13,0,0,Natus Vincere
SJ,KOVA,16,11,16,8,0,0,SJ
fnatic,100 Thieves,19,16,19,16,0,0,fnatic
HAVU,hREDS,16,9,16,10,0,0,HAVU
100 Thieves,mousesports,10,16,16,8,16,14,100 Thieves
Natus Vincere,FaZe,8,16,16,6,16,14,Natus Vincere
G2,Liquid,16,11,16,10,0,0,G2
HellRaisers,NAVI Junior,16,11,16,6,0,0,HellRaisers
Astralis,fnatic,16,9,16,8,0,0,Astralis
100 Thieves,Evil Geniuses,12,16,16,12,16,12,100 Thieves
MAD Lions,mousesports,8,16,4,16,0,0,mousesports
Corvidae,i sleep,7,16,2,16,0,0,i sleep
Airborne,VERTEX,16,11,9,16,14,16,VERTEX
Liquid,Evil Geniuses,16,7,15,19,16,10,Liquid
Vitality,FaZe,16,14,11,16,10,16,FaZe
G2,mousesports,13,16,16,6,16,7,G2
NIP,Natus Vincere,3,16,10,16,0,0,Natus Vincere
Virtus.pro,MAD Lions,14,16,16,7,13,16,MAD Lions
100 Thieves,TYLOO,16,9,16,10,0,0,100 Thieves
Natus Vincere,fnatic,7,16,16,14,12,16,fnatic
Renegades,FaZe,12,16,10,16,0,0,FaZe
Vitality,Astralis,9,16,19,22,0,0,Astralis
NIP,Cloud9,16,2,16,9,0,0,NIP
MAD Lions,Evil Geniuses,7,16,16,14,5,16,Evil Geniuses
Liquid,Virtus.pro,19,16,16,9,0,0,Liquid
100 Thieves,G2,3,16,2,16,0,0,G2
Natus Vincere,FaZe,9,16,16,14,16,10,Natus Vincere
mousesports,TYLOO,16,5,16,10,0,0,mousesports
Renegades,fnatic,4,16,14,16,0,0,fnatic
NIP,Vitality,12,16,10,16,0,0,Vitality
Astralis,Cloud9,16,7,16,12,0,0,Astralis
Gen.G,FURIA,16,7,19,15,0,0,Gen.G
TGS,RAIJIN,10,16,14,16,0,0,RAIJIN
FURIA,Complexity,11,16,16,11,16,14,FURIA
Copenhagen Flames,AGO,8,16,16,13,8,16,AGO
Gen.G,North,16,13,16,14,0,0,Gen.G
AGO,Gambit Youngsters,16,12,13,16,19,17,AGO
Titan,Medieval,12,16,16,11,16,10,Titan
Medieval,Synergy,8,16,16,7,16,8,Medieval
Titan,Skinlordz,16,14,19,16,0,0,Titan
HaBzz,Electrify,16,4,16,9,0,0,HaBzz
Updraft,ikarus,16,5,25,22,0,0,Updraft
Complexity,MIBR,16,2,16,9,0,0,Complexity
North,Endpoint,16,7,19,17,0,0,North
ENCE,MIBR,8,16,19,15,11,16,MIBR
Endpoint,forZe,28,26,12,16,16,7,Endpoint
AGO,Copenhagen Flames,3,16,8,16,0,0,Copenhagen Flames
LDLC,HAVU,9,16,13,16,0,0,HAVU
Gambit Youngsters,Nemiga,16,12,16,10,0,0,Gambit Youngsters
Assassins,Dignitas fe,12,16,16,13,16,14,Assassins
HAVU,FATE,16,3,16,4,0,0,HAVU
SJ,LDLC,8,16,13,16,0,0,LDLC
UP,fakeDOSPRO,16,10,16,11,0,0,UP
Carnage fe,INTZ fe,14,16,16,13,7,16,INTZ fe
Neverest,fakeDOSPRO,6,16,16,14,15,19,fakeDOSPRO
Demolition Crew,Nemiga,17,19,16,10,6,16,Nemiga
HAVU,KYNYNIEKAT,16,11,16,12,0,0,HAVU
FATE,Gambit Youngsters,6,16,16,13,8,16,Gambit Youngsters
hREDS,SJ,12,16,4,16,0,0,SJ
Dignitas fe,Assassins,6,16,14,16,0,0,Assassins
Rysix,Neverest,4,16,10,16,0,0,Neverest
Neverest,Rejected,16,3,19,17,0,0,Neverest
AGF,Sigma,7,16,22,18,16,4,AGF
HAVU,KOVA,16,6,13,16,16,4,HAVU
Rysix,Fearow,1,0,0,0,0,0,Rysix
FATE,Copenhagen Flames,8,16,13,16,0,0,Copenhagen Flames
Nemiga,AGO,12,16,13,16,0,0,AGO
REHTI,hREDS,7,16,9,16,0,0,hREDS
Stepback,Sigma,4,16,16,7,7,16,Sigma
PACT,Demolition Crew,12,16,10,16,0,0,Demolition Crew
Hard Legion,Gambit Youngsters,15,19,7,16,0,0,Gambit Youngsters
kinetic,AGF,5,16,16,14,13,16,AGF
Rysix,CPTL,16,7,16,13,0,0,Rysix
Neverest,Hawks,1,0,0,0,0,0,Neverest
Copenhagen Flames,Demolition Crew,19,16,16,10,0,0,Copenhagen Flames
PACT,FATE,12,16,14,16,0,0,FATE
Wisla Krakow,Copenhagen Flames,10,16,12,16,0,0,Copenhagen Flames
NAVI Junior,Skin Ogres,16,8,16,12,0,0,NAVI Junior
Gambit Youngsters,AGO,16,8,5,16,11,16,AGO
SKADE,Spirit,16,10,16,14,0,0,SKADE
Hard Legion,Nemiga,7,16,16,13,12,16,Nemiga
eUnited,Orgless,16,5,13,16,14,16,Orgless
Redemption POA,DETONA,6,16,16,12,16,2,Redemption POA
Orgless,Swole Identity,16,11,16,10,0,0,Orgless
DETONA,W7M,17,19,16,14,19,15,DETONA
Bad News Bears,Swole Identity,16,8,14,16,8,16,Swole Identity
Spirit,Gambit Youngsters,16,13,16,14,0,0,Spirit
Yeah,Orgless,13,16,16,7,6,16,Orgless
AVEZ,SKADE,8,16,16,9,16,9,AVEZ
Chaos,eUnited,16,8,16,11,0,0,Chaos
G2,OG,16,7,5,16,16,14,G2
W7M,Bravos,16,19,16,6,16,8,W7M
Redemption POA,Isurus,16,12,14,16,7,16,Isurus
Winstrike,Gambit Youngsters,16,12,18,22,9,16,Gambit Youngsters
Copenhagen Flames,Spirit,16,19,4,16,0,0,Spirit
Rysix,DETONA,5,16,3,16,0,0,DETONA
Evil Geniuses,OG,16,4,3,16,14,16,OG
AVEZ,Winstrike,5,16,16,6,16,13,AVEZ
Spirit,GamerLegion,16,12,9,16,16,10,Spirit
Copenhagen Flames,SKADE,14,16,19,22,0,0,SKADE
Gambit Youngsters,HAVU,9,16,16,13,16,4,Gambit Youngsters
ATK,Gaming Hub,16,7,16,9,0,0,ATK
Camel Riders,IGEN,16,10,16,8,0,0,Camel Riders
Invictus,JiJieHao,21,25,16,12,5,16,JiJieHao
Wubbalubbadubdub,Aster,6,16,16,4,16,10,Wubbalubbadubdub
ikarus,Born in Mongolia,18,22,11,16,0,0,Born in Mongolia
Updraft,Aim4R,14,16,8,16,0,0,Aim4R
Swole Identity,Asuna's Anime Aimers,16,19,16,9,16,8,Swole Identity
Bad News Bears,eUnited,16,6,8,16,13,16,eUnited
Yeah,Chaos,13,16,12,16,0,0,Chaos
Orgless,Recon 5,16,9,16,6,0,0,Orgless
Isurus,DETONA,16,11,13,16,16,8,Isurus
RED Canids,INTZ.Academy,16,6,9,16,16,5,RED Canids
Rysix,Alma,5,16,16,14,16,4,Rysix
Rugratz,Asuna's Anime Aimers,10,16,16,4,8,16,Asuna's Anime Aimers
Ze Pug Godz,Recon 5,16,3,4,16,13,16,Recon 5
Big Frames,Swole Identity,9,16,9,16,0,0,Swole Identity
Orgless,Triumph,16,6,16,14,0,0,Orgless
W7M,ex-skullz,16,8,16,8,0,0,W7M
Bravos,Redemption POA,14,16,12,16,0,0,Redemption POA
SAW,Gambit Youngsters,11,16,16,14,9,16,Gambit Youngsters
Spirit,Juggernauts,9,16,16,14,16,11,Spirit
Swole Identity,Chaos,16,9,6,16,4,16,Chaos
Asuna's Anime Aimers,Yeah,16,11,13,16,5,16,Yeah
Keyd,W7M,12,16,11,16,0,0,W7M
eUnited,Recon 5,16,14,16,8,0,0,eUnited
Rysix,Reapers,16,14,16,10,0,0,Rysix
Bad News Bears,Triumph,16,9,16,6,0,0,Bad News Bears
HAVU,Syman,16,11,22,20,0,0,HAVU
Heretics,GamerLegion,13,16,12,16,0,0,GamerLegion
Alma,Dynasty,16,4,16,5,0,0,Alma
G2,OG,16,8,16,6,0,0,G2
Isurus,RED Canids,16,12,16,19,16,5,Isurus
DETONA,W7M,16,14,7,16,16,13,DETONA
Gambit Youngsters,Movistar Riders,19,17,23,25,16,10,Gambit Youngsters
SKADE,Heretics,16,10,17,19,16,9,SKADE
Nexus,Syman,22,20,9,16,11,16,Syman
Dynasty,Bravos,3,16,6,16,0,0,Bravos
Salamander,Juggernauts,7,16,16,14,17,19,Juggernauts
Se7en,SG.pro,13,16,13,16,0,0,SG.pro
Spirit,Copenhagen Flames,12,16,16,14,10,16,Copenhagen Flames
Reapers,Redemption POA,7,16,10,16,0,0,Redemption POA
GamerLegion,Tricked,16,8,16,13,0,0,GamerLegion
SAW,Winstrike,11,16,9,16,0,0,Winstrike
HAVU,AVEZ,6,16,10,16,0,0,AVEZ
AllTheRage,Akatsuki,8,16,13,16,0,0,Akatsuki
100 Thieves,Evil Geniuses,4,16,16,19,0,0,Evil Geniuses
Tricked,Singularity,9,16,19,16,16,14,Tricked
shinelikedemons,Finest,13,16,5,16,0,0,Finest
Moscow Five Academy,SpeedRunners,5,16,12,16,0,0,SpeedRunners
Movistar Riders,Endpoint,16,12,10,16,16,11,Movistar Riders
1WIN,Juggernauts,11,16,16,12,3,16,Juggernauts
Hard Legion,Syman,7,16,17,19,0,0,Syman
Gambit Youngsters,pro100,16,10,16,14,0,0,Gambit Youngsters
Viboras,Aequus,1,16,13,16,0,0,Aequus
ex-Virtus.pro,GamerLegion,5,16,7,16,0,0,GamerLegion
Akatsuki,Timechasers,16,10,16,5,0,0,Akatsuki
Sinners,Nexus,13,16,10,16,0,0,Nexus
Unique,Salamander,9,16,8,16,0,0,Salamander
1337HUANIA,AllTheRage,15,19,15,19,0,0,AllTheRage
D13,Updraft,16,13,16,10,0,0,D13
Ignis,Aim4R,16,5,16,10,0,0,Ignis
New England Whalers,Orgless,11,16,7,16,0,0,Orgless
RBG,Rugratz,7,16,16,14,5,16,Rugratz
Big Frames,Prospects,16,12,13,16,16,14,Big Frames
Ze Pug Godz,Mythic,16,4,19,16,0,0,Ze Pug Godz
Orgless,Chaos,13,16,19,16,23,25,Chaos
Recon 5,Rugratz,13,16,16,14,25,22,Recon 5
Mythic,Yeah,17,19,14,16,0,0,Yeah
Triumph,Prospects,16,9,16,9,0,0,Triumph
Swole Identity,New England Whalers,16,12,16,8,0,0,Swole Identity
Alma,Soberano,16,5,19,16,0,0,Alma
Neverest,Rysix,11,16,11,16,0,0,Rysix
eUnited,RBG,16,1,16,12,0,0,eUnited
Ze Pug Godz,Asuna's Anime Aimers,13,16,9,16,0,0,Asuna's Anime Aimers
Bad News Bears,Big Frames,16,2,16,1,0,0,Bad News Bears
NLG,Endpoint,19,17,8,16,11,16,Endpoint
Salamander,AVEZ,16,14,8,16,13,16,AVEZ
Heretics,Movistar Riders,11,16,16,10,16,10,Heretics
SMASH,Singularity,9,16,16,12,14,16,Singularity
Isurus,Neverest,22,19,16,13,0,0,Isurus
Evil Geniuses,OG,16,14,14,16,17,19,OG
pro100,SKADE,13,16,16,4,14,16,SKADE
Ekaterinburg,Juggernauts,19,17,17,19,5,16,Juggernauts
ex-Virtus.pro,Winstrike,7,16,13,16,0,0,Winstrike
DETONA,Alma,16,9,16,13,0,0,DETONA
GamerLegion,Cream,16,7,25,23,0,0,GamerLegion
ex-skullz,Redemption POA,7,16,9,16,0,0,Redemption POA
Gambit Youngsters,AGO,16,3,16,13,0,0,Gambit Youngsters
paiN,Dynasty,0,1,0,0,0,0,Dynasty
Syman,HellRaisers,16,9,16,7,0,0,Syman
Nexus,Illuminar,16,11,16,11,0,0,Nexus
SAW,Tricked,16,5,16,3,0,0,SAW
Copenhagen Flames,Hard Legion,16,11,16,11,0,0,Copenhagen Flames
HAVU,1WIN,16,1,16,8,0,0,HAVU
Spirit,Sinners,16,4,16,6,0,0,Spirit
Unique,Secret,16,9,16,7,0,0,Unique
Endpoint,Winstrike,20,22,16,13,10,16,Winstrike
ex-Virtus.pro,NLG,18,22,16,10,16,6,ex-Virtus.pro
Movistar Riders,Cream,22,20,10,16,16,6,Movistar Riders
Bravos,Keyd,16,14,16,14,0,0,Bravos
AGO,Tricked,16,10,11,16,20,22,Tricked
HellRaisers,AVEZ,10,16,19,17,10,16,AVEZ
SKADE,Singularity,16,14,11,16,16,11,SKADE
Illuminar,1WIN,7,16,16,8,17,19,1WIN
Gambit Youngsters,SAW,16,19,16,10,4,16,SAW
HAVU,Nexus,16,14,14,16,16,8,HAVU
W7M,Soberano,16,12,16,4,0,0,W7M
Juggernauts,Sinners,16,13,14,16,12,16,Sinners
RED Canids,Rysix,16,14,16,4,0,0,RED Canids
Syman,Salamander,20,22,11,16,0,0,Salamander
pro100,SMASH,16,14,16,10,0,0,pro100
GamerLegion,Heretics,12,16,10,16,0,0,Heretics
Hard Legion,Unique,16,10,16,8,0,0,Hard Legion
Copenhagen Flames,Secret,16,10,16,7,0,0,Copenhagen Flames
Spirit,Ekaterinburg,16,3,16,7,0,0,Spirit
100 Thieves,G2,13,16,12,16,0,0,G2
Spirit,Gambit Youngsters,16,12,14,16,16,6,Spirit
Yeah,Recon 5,16,13,14,16,16,5,Yeah
Big Frames,Orgless,10,16,11,16,0,0,Orgless
Complexity,SMASH,8,16,16,14,14,16,SMASH
Illuminar,Copenhagen Flames,9,16,16,19,0,0,Copenhagen Flames
pro100,Gambit Youngsters,16,14,11,16,14,16,Gambit Youngsters
Gambit Youngsters,Unique,16,8,16,5,0,0,Gambit Youngsters
Revolt,Unique,11,16,16,19,0,0,Unique
Spirit,pro100,16,14,12,16,16,12,Spirit
Gambit Youngsters,Espada,16,14,16,13,0,0,Gambit Youngsters
Revolt,eL'quvet,13,16,12,16,0,0,eL'quvet
EXTREMUM,Espada,3,16,16,11,9,16,Espada
ne parsya,fbg,10,16,9,16,0,0,fbg
Unique,pro100,7,16,10,16,0,0,pro100
Spirit,Gambit Youngsters,12,16,16,4,16,14,Spirit
pro100,Espada,16,12,25,22,0,0,pro100
Revolt,SG.pro,16,12,16,10,0,0,Revolt
Recon 5,Mythic,0,1,16,11,12,16,Mythic
Rap Gang,Divine,8,16,16,12,6,16,Divine
Apeks,Pompa,16,19,22,19,16,10,Apeks
Complexity,Natus Vincere,10,16,9,16,0,0,Natus Vincere
KOVA,Endpoint,16,14,16,11,0,0,KOVA
Natus Vincere,Vitality,16,12,16,6,0,0,Natus Vincere
EXTREMUM,Unique,11,16,11,16,0,0,Unique
DivisionX,SHIFT,14,16,8,16,0,0,SHIFT
Skyfire,Paradox,16,11,16,11,0,0,Skyfire
Ferox,madlikewizards,13,16,8,16,0,0,madlikewizards
SHIFT,Akatsuki,16,6,16,10,0,0,SHIFT
DivisionX,Akatsuki,16,8,16,7,0,0,DivisionX
Vitality,Complexity,10,16,5,16,0,0,Complexity
Natus Vincere,Astralis,6,16,16,9,16,14,Natus Vincere
Gambit Youngsters,SG.pro,16,7,19,16,0,0,Gambit Youngsters
SHIFT,1820HT,16,6,16,10,0,0,SHIFT
MC,catman,10,16,16,14,6,16,catman
Ground Zero,Paradox,4,16,16,14,16,14,Ground Zero
Akatsuki,1820HT,12,16,16,9,16,8,Akatsuki
DivisionX,SHIFT,16,5,16,11,0,0,DivisionX
Astralis,Complexity,11,16,12,16,0,0,Complexity
1WIN,EveryBodyDance,16,5,9,16,16,12,1WIN
100PG,Unique,14,16,16,13,11,16,Unique
Natus Vincere,Vitality,12,16,9,16,0,0,Vitality
NAVI Junior,Copenhagen Flames,4,16,12,16,0,0,Copenhagen Flames
Spirit,Revolt,16,4,16,4,0,0,Spirit
LiViD,Polar Ace,16,9,16,7,0,0,LiViD
Ze Pug Godz,Divine,16,7,16,13,0,0,Ze Pug Godz
AGO,Sprout,10,16,14,16,0,0,Sprout
Nordavind,PACT,11,16,16,9,16,8,Nordavind
EXTREMUM,Hard Legion,8,16,13,16,0,0,Hard Legion
Natus Vincere,GODSENT,16,7,16,13,0,0,Natus Vincere
mousesports,MAD Lions,13,16,16,4,16,12,mousesports
Virtus.pro,GODSENT,9,16,13,16,0,0,GODSENT
OG,MAD Lions,12,16,12,16,0,0,MAD Lions
Imperial,paiN,11,16,11,16,0,0,paiN
W7M,RED Canids,16,9,7,16,16,1,W7M
Space Jam,Espada,16,10,8,16,10,16,Espada
Unique,Nemiga,11,16,6,16,0,0,Nemiga
FaZe,Liquid,16,9,16,2,0,0,FaZe
ENCE,GODSENT,7,16,4,16,0,0,GODSENT
NIP,Liquid,10,16,17,19,0,0,Liquid
Heroic,MAD Lions,13,16,7,16,0,0,MAD Lions
savage,Sinners,11,16,7,16,0,0,Sinners
OG,Natus Vincere,6,16,8,16,0,0,Natus Vincere
Maple,ClownS,19,15,16,6,0,0,Maple
SGINDOMIX,HZ,6,16,13,16,0,0,HZ
Vexed,Sinners,22,18,8,16,7,16,Sinners
Virtus.pro,mousesports,9,16,14,16,0,0,mousesports
Rugratz,Infinity,16,6,16,3,0,0,Rugratz
Faint,Envy,4,16,8,16,0,0,Envy
BIG,Complexity,10,16,16,7,16,9,BIG
FaZe,Liquid,16,12,16,5,0,0,FaZe
savage,Smoke Criminals,16,7,16,12,0,0,savage
Sprout,Dignitas,16,7,11,16,10,16,Dignitas
Natus Vincere,GODSENT,16,7,12,16,16,13,Natus Vincere
NIP,MIBR,9,16,16,12,16,9,NIP
Sinners,Brute,19,15,16,10,0,0,Sinners
Smoke Criminals,FALKN,16,11,16,8,0,0,Smoke Criminals
Prima,Vexed,12,16,6,16,0,0,Vexed
savage,Fragbox,16,1,16,7,0,0,savage
mousesports,MAD Lions,19,15,16,11,0,0,mousesports
Fragbox,Pompa,19,17,7,16,16,9,Fragbox
Genesis,FALKN,12,16,12,16,0,0,FALKN
Blank,DivisionX,11,16,16,12,16,12,Blank
Heroic,Virtus.pro,8,16,14,16,0,0,Virtus.pro
Vexed,SILENT,16,4,16,12,0,0,Vexed
Brute,ttc,16,8,16,5,0,0,Brute
Prima,Moops,16,14,16,4,0,0,Prima
Smoke Criminals,High Coast,16,9,16,2,0,0,Smoke Criminals
Sinners,Seven.Modula,16,12,16,1,0,0,Sinners
savage,Vikingekrig,16,8,16,3,0,0,savage
Paper Rex,Astro,16,8,16,6,0,0,Paper Rex
OneThree,Invictus,16,2,12,16,16,8,OneThree
OG,ENCE,19,17,16,7,0,0,OG
EHOME,Aster,16,6,16,12,0,0,EHOME
Liquid,MIBR,22,19,16,9,0,0,Liquid
Gambit Youngsters,Espada,16,12,6,16,16,1,Gambit Youngsters
FaZe,NIP,16,7,16,8,0,0,FaZe
Copenhagen Flames,DreamEaters,16,4,16,4,0,0,Copenhagen Flames
NAVI Junior,Skin Ogres,16,3,7,16,16,8,NAVI Junior
Sprout,Copenhagen Flames,13,16,16,12,12,16,Copenhagen Flames
Wisla Krakow,Skin Ogres,16,5,16,10,0,0,Wisla Krakow
Hard Legion,Espada,18,22,8,16,0,0,Espada
GamerLegion,HAVU,13,16,16,12,16,11,GamerLegion
Akatsuki,Espada,11,16,10,16,0,0,Espada
HAVU,NAVI Junior,16,7,14,16,19,15,HAVU
Gambit Youngsters,EXTREMUM,28,24,16,14,0,0,Gambit Youngsters
DreamEaters,Skin Ogres,16,19,13,16,0,0,Skin Ogres
Zorka,97club,16,7,11,16,16,5,Zorka
Renegades,BIG,5,16,12,16,0,0,BIG
Tricked,NAVI Junior,20,22,5,16,0,0,NAVI Junior
EXTREMUM,DreamEaters,16,6,12,16,16,10,EXTREMUM
BIG,Heroic,16,9,16,12,0,0,BIG
GamerLegion,HAVU,16,8,16,14,0,0,GamerLegion
MAD Lions,Renegades,11,16,16,11,6,16,Renegades
Copenhagen Flames,AGF,16,2,16,5,0,0,Copenhagen Flames
North,Heroic,16,10,19,22,2,16,Heroic
Copenhagen Flames,AGF,16,13,8,16,16,8,Copenhagen Flames
Divine Vendetta,Yalla,12,16,12,16,0,0,Yalla
Renegades,Cloud9,16,7,16,12,0,0,Renegades
Gambit Youngsters,Akatsuki,13,16,16,12,16,9,Gambit Youngsters
Sprout,Heroic,6,16,13,16,0,0,Heroic
NAVI Junior,GamerLegion,10,16,15,19,0,0,GamerLegion
Virtus.pro,Cloud9,4,16,7,16,0,0,Cloud9
Swole Patrol,INTZ,14,16,8,16,0,0,INTZ
Nemiga,Espada,13,16,14,16,0,0,Espada
AUGUST,NAVI Junior,10,16,11,16,0,0,NAVI Junior
NAVI Junior,SMASH,8,16,16,3,16,14,NAVI Junior
Riot Squad,INTZ,14,16,11,16,0,0,INTZ
forZe,Copenhagen Flames,16,14,13,16,20,22,Copenhagen Flames
SKADE,Tricked,14,16,14,16,0,0,Tricked
DreamEaters,Wisla Krakow,13,16,16,14,5,16,Wisla Krakow
AUGUST,HAVU,6,16,16,7,4,16,HAVU
Swole Patrol,Singularity,6,16,16,11,16,12,Swole Patrol
KOVA,Espada,8,16,16,14,10,16,Espada
Tricked,GamerLegion,16,6,4,16,6,16,GamerLegion
HellRaisers,Axis,16,7,16,9,0,0,HellRaisers
Hard Legion,EXTREMUM,8,16,16,4,16,9,Hard Legion
Sprout,HAVU,16,9,12,16,19,15,Sprout
NAVI Junior,AUGUST,16,11,14,16,6,16,AUGUST
SKADE,Nemiga,8,16,8,16,0,0,Nemiga
Copenhagen Flames,Axis,14,16,14,16,0,0,Axis
SKADE,ALTERNATE aTTaX,16,3,16,11,0,0,SKADE
Maple,HZ,14,16,10,16,0,0,HZ
HZ,Hard4U,16,11,16,13,0,0,HZ
Maple,Hard4U,16,7,16,9,0,0,Maple
KOVA,Apeks,16,9,16,14,0,0,KOVA
SMASH,HAVU,16,4,9,16,6,16,HAVU
HellRaisers,Copenhagen Flames,16,14,16,5,0,0,HellRaisers
Espada,spray'n'pray,16,8,16,6,0,0,Espada
GamerLegion,ALTERNATE aTTaX,16,7,16,7,0,0,GamerLegion
NAVI Junior,Axis,10,16,16,7,9,16,Axis
Tricked,SKADE,12,16,16,12,16,14,Tricked
Se7en,HZ,17,19,16,12,9,16,HZ
Hard4U,HZ,16,13,16,14,0,0,Hard4U
Maple,Se7en,12,16,16,10,16,13,Maple
Chaos,Singularity,7,16,9,16,0,0,Singularity
forZe,Hard Legion,16,12,16,6,0,0,forZe
Lucid Dream,HZ,7,16,16,6,14,16,HZ
Se7en,Absolute,10,16,16,10,16,10,Se7en
Infinity,Supremacy,13,16,13,16,0,0,Supremacy
Jokers,RSC19,8,16,11,16,0,0,RSC19
Infinity,FreeStyle,16,4,16,0,0,0,Infinity
Supremacy,Incubus,16,10,16,4,0,0,Supremacy
eUnited,Complexity,6,16,13,16,0,0,Complexity
Riot Squad,Gen.G,6,16,12,16,0,0,Gen.G
Complexity,INTZ,16,11,10,16,16,10,Complexity
Singularity,Riot Squad,8,16,16,14,7,16,Riot Squad
Gen.G,Chaos,16,8,9,16,16,5,Gen.G
Heroic,forZe,9,16,4,16,0,0,forZe
eUnited,Triumph,16,7,16,14,0,0,eUnited
Espada,BIG Academy,8,16,16,4,16,7,Espada
Cerberus,lapw,5,16,9,16,0,0,lapw
CR4ZY,forZe,10,16,10,16,0,0,forZe
Heroic,GODSENT,5,16,16,8,16,14,Heroic
Absolute,Hard4U,11,16,23,25,0,0,Hard4U
forZe,Winstrike,16,9,17,19,16,14,forZe
CR4ZY,SKADE,8,16,16,8,19,15,CR4ZY
GODSENT,HAVU,16,8,16,9,0,0,GODSENT
Heroic,AVEZ,16,5,16,3,0,0,Heroic
Se7en,Astro,16,3,16,4,0,0,Se7en
Lucid Dream,Maple,7,16,9,16,0,0,Maple
HZ,Bren,16,10,16,12,0,0,HZ
Cephei,RSC19,7,16,9,16,0,0,RSC19
Agarthas,Jokers,6,16,5,16,0,0,Jokers
New England Whalers,Chaos,11,16,16,14,12,16,Chaos
INTZ,Triumph,16,4,16,9,0,0,INTZ
Just For Fun,Triumph,6,16,7,16,0,0,Triumph
Riot Squad,Saskatoon Warriors,16,5,16,6,0,0,Riot Squad
INTZ,OCG,16,5,16,2,0,0,INTZ
Nemiga,Budapest Five,11,16,16,10,16,8,Nemiga
Hard4U,Astro,16,8,16,12,0,0,Hard4U
AVEZ,BIG,16,19,16,12,16,7,AVEZ
HAVU,Spirit,7,16,16,6,16,8,HAVU
pro100,Winstrike,14,16,12,16,0,0,Winstrike
Absolute,Se7en,16,8,19,16,0,0,Absolute
cisbots,SKADE,9,16,9,16,0,0,SKADE
Bren,Maple,15,19,16,12,10,16,Maple
HZ,Lucid Dream,16,10,14,16,6,16,Lucid Dream
Espada,Akatsuki,8,16,13,16,0,0,Akatsuki
Skin Ogres,Nemiga,17,19,16,13,16,10,Skin Ogres
GODSENT,GRID Staff,19,16,13,16,22,19,GODSENT
Swole Patrol,Station7,16,4,16,5,0,0,Swole Patrol
Riot Squad,Mythic,16,11,16,10,0,0,Riot Squad
DreamEaters,eL'quvet,9,16,16,5,16,14,DreamEaters
Wisla Krakow,Nemiga,16,12,16,13,0,0,Wisla Krakow
SKADE,MeAndTheBoys,16,6,10,16,16,6,SKADE
Gambit Youngsters,spray'n'pray,16,2,16,5,0,0,Gambit Youngsters
Armory,Astro,4,16,16,13,13,16,Astro
DreamEaters,Skin Ogres,16,6,16,2,0,0,DreamEaters
Maple,Astro,16,5,10,16,16,7,Maple
ORDER,ex-Genuine,16,14,11,16,6,16,ex-Genuine
Alpha Red,Armory,16,6,16,8,0,0,Alpha Red
Singularity,Rap Gang,16,10,16,9,0,0,Singularity
No Problem!,Apeks,16,19,12,16,0,0,Apeks
Illuminar,HAVU,16,13,16,19,14,16,HAVU
Hard Legion,eL'quvet,16,7,16,14,0,0,Hard Legion
Avengers,Budapest Five,2,16,16,6,9,16,Budapest Five
EXTREMUM,DreamEaters,16,3,16,8,0,0,EXTREMUM
HellRaisers,Axis,16,10,16,11,0,0,HellRaisers
ex-Genuine,AVANT,16,8,8,16,16,6,ex-Genuine
AVANT,Airborne,14,16,16,12,16,13,AVANT
Paradox,ex-Genuine,16,10,10,16,5,16,ex-Genuine
Renegades,ORDER,16,14,16,9,0,0,Renegades
Swole Patrol,ex-iNTACT,12,16,16,13,19,16,Swole Patrol
Divine,INTZ,5,16,4,16,0,0,INTZ
Triumph,7Sins,16,12,16,9,0,0,Triumph
Chaos,New England Whalers,16,13,16,10,0,0,Chaos
SKADE,Nexus,16,13,8,16,16,14,SKADE
