Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
Copenhagen Flames,Nexus,16,6,16,14,0,0,Copenhagen Flames
HellRaisers,SJ,16,10,10,16,16,10,HellRaisers
Nexus,Apeks,22,19,10,16,19,17,Nexus
ViCi,Invictus,16,7,16,7,0,0,ViCi
Copenhagen Flames,TheDice,16,2,16,11,0,0,Copenhagen Flames
ORDER,AVANT,16,10,10,16,19,16,ORDER
GGPR,Rise,1,0,0,0,0,0,GGPR
New England Whalers,Mythic,16,11,10,16,7,16,Mythic
TeamOne,Yeah,14,16,16,9,16,10,TeamOne
Heroic,Spirit,16,9,28,26,0,0,Heroic
Lemondogs,AURA,12,16,16,6,15,19,AURA
OG,MIBR,10,16,16,6,3,16,MIBR
Gambit,Complexity,16,5,16,5,0,0,Gambit
GameAgents,Lilmix,14,16,16,14,13,16,Lilmix
c0ntact,FaZe,11,16,16,13,16,19,FaZe
Cloud9,ENCE,25,23,16,9,0,0,Cloud9
fnatic,Dignitas,16,4,11,16,16,11,fnatic
Lilmix,4glory,16,14,17,19,16,12,Lilmix
G2,Nemiga,19,16,16,7,0,0,G2
GameAgents,ex-ETHEREAL,16,8,7,16,2,16,ex-ETHEREAL
FURIA,North,16,4,16,6,0,0,FURIA
Winstrike,Movistar Riders,16,7,16,8,0,0,Winstrike
TYLOO,TIGER,9,16,16,14,14,16,TIGER
4glory,ex-ETHEREAL,16,13,14,16,8,16,ex-ETHEREAL
Lilmix,GameAgents,16,10,14,16,6,16,GameAgents
Renegades,Chiefs,16,5,16,9,0,0,Renegades
paiN,Yeah,14,16,22,20,10,16,Yeah
Triumph,Rebirth,13,16,16,14,10,16,Rebirth
Chaos,Rugratz,8,16,16,12,16,13,Chaos
Complexity,ENCE,16,12,14,16,16,13,Complexity
BIG,Envy,13,16,16,10,16,13,BIG
Movistar Riders,Winstrike,16,10,2,16,28,24,Movistar Riders
Cloud9,Gambit,6,16,14,16,0,0,Gambit
Astralis,GODSENT,12,16,16,4,11,16,GODSENT
Liquid,mousesports,13,16,12,16,0,0,mousesports
SG.pro,Illuminar,16,11,13,16,11,16,Illuminar
MAD Lions,Virtus.pro,16,6,10,16,17,19,Virtus.pro
Copenhagen Flames,Izako Boars,12,16,19,17,19,16,Copenhagen Flames
DUSTY,Illuminar,11,16,8,16,0,0,Illuminar
FaZe,Spirit,11,16,13,16,0,0,Spirit
SG.pro,Saints,3,16,8,16,0,0,Saints
Heroic,c0ntact,16,11,16,10,0,0,Heroic
Saints,Illuminar,14,16,22,20,16,14,Saints
SG.pro,DUSTY,16,2,16,4,0,0,SG.pro
Estral,Infinity,19,17,10,16,5,16,Infinity
ex-Cloud9,Yeah,19,22,19,16,6,16,Yeah
Depth,paiN,16,11,11,16,7,16,paiN
mousesports,Cloud9,16,7,16,13,0,0,mousesports
